,date,time,open,high,low,close,volume
38,07/01/2021,08:00:00,36863.04000000,37913.72000000,36300.00000000,37822.09000000,17213.96891800
39,07/01/2021,12:00:00,37825.64000000,38970.42000000,37518.00000000,38970.42000000,22645.70147700
40,07/01/2021,16:00:00,38970.41000000,40365.00000000,36500.00000000,39062.00000000,39368.56018200
41,07/01/2021,20:00:00,39061.99000000,39969.00000000,38352.88000000,39432.28000000,17620.04107600
42,08/01/2021,00:00:00,39432.48000000,39699.87000000,36500.00000000,38347.10000000,23563.55820700
43,08/01/2021,04:00:00,38347.11000000,39143.80000000,37563.92000000,38930.55000000,17678.05242000
44,08/01/2021,08:00:00,38929.56000000,41500.45000000,38222.00000000,41286.67000000,26858.31322800
45,08/01/2021,12:00:00,41286.67000000,41950.00000000,39777.00000000,40829.08000000,29703.86386100
46,08/01/2021,16:00:00,40829.07000000,41600.00000000,39800.00000000,40365.09000000,20523.08366000
47,08/01/2021,20:00:00,40365.09000000,40937.77000000,38652.00000000,40582.81000000,21463.08612300
48,09/01/2021,00:00:00,40586.96000000,40976.13000000,39500.00000000,40211.59000000,13875.82436000
49,09/01/2021,04:00:00,40209.91000000,40490.00000000,38720.00000000,39638.61000000,12464.02114400
50,09/01/2021,08:00:00,39639.21000000,41237.44000000,39290.86000000,40565.77000000,14548.75654100
51,09/01/2021,12:00:00,40565.77000000,41380.00000000,40200.00000000,40525.15000000,13783.07301000
52,09/01/2021,16:00:00,40525.16000000,40880.00000000,39869.00000000,40665.91000000,10121.05537700
53,09/01/2021,20:00:00,40665.91000000,40781.69000000,39928.91000000,40088.22000000,10993.24924300
54,10/01/2021,00:00:00,40088.22000000,41350.00000000,40087.15000000,40316.64000000,11827.44570400
55,10/01/2021,04:00:00,40320.67000000,41073.26000000,40050.00000000,40978.57000000,9169.85114000
56,10/01/2021,08:00:00,40978.57000000,41060.00000000,38888.00000000,39181.76000000,18823.28830300
57,10/01/2021,12:00:00,39175.09000000,40126.00000000,38450.00000000,39671.81000000,17148.66968400
58,10/01/2021,16:00:00,39671.82000000,39757.55000000,37111.00000000,37456.77000000,26106.90815400
59,10/01/2021,20:00:00,37472.40000000,39000.00000000,35111.11000000,38150.02000000,35133.38151800
60,11/01/2021,00:00:00,38150.02000000,38264.74000000,33600.00000000,35438.23000000,37334.82410300
61,11/01/2021,04:00:00,35438.23000000,35999.95000000,32538.00000000,34375.34000000,45091.05878000
62,11/01/2021,08:00:00,34372.25000000,36360.00000000,34020.00000000,34198.56000000,25470.72130000
63,11/01/2021,12:00:00,34198.55000000,35110.00000000,31115.00000000,31580.00000000,57121.74535300
64,11/01/2021,16:00:00,31582.82000000,33585.17000000,30420.00000000,32254.62000000,51176.26204200
65,11/01/2021,20:00:00,32254.63000000,35638.55000000,31408.07000000,35404.47000000,32936.92836500
66,12/01/2021,00:00:00,35410.37000000,35547.19000000,33677.03000000,34984.96000000,20156.06217800
67,12/01/2021,04:00:00,34984.95000000,36628.00000000,34520.69000000,36413.60000000,21820.92527800
68,12/01/2021,08:00:00,36413.60000000,36499.98000000,34757.00000000,35410.99000000,20129.58418600
69,12/01/2021,12:00:00,35410.99000000,35688.82000000,32531.00000000,33829.40000000,32930.54466900
70,12/01/2021,16:00:00,33829.40000000,35550.00000000,33819.11000000,34685.11000000,19491.04941000
71,12/01/2021,20:00:00,34686.10000000,35051.02000000,33260.74000000,34051.24000000,19419.98627500
72,13/01/2021,00:00:00,34049.15000000,34375.51000000,32380.00000000,33818.50000000,27424.98432500
73,13/01/2021,04:00:00,33818.50000000,35180.67000000,32800.00000000,34986.90000000,18746.30897400
74,13/01/2021,08:00:00,34986.90000000,35250.00000000,34200.00000000,34385.48000000,21211.79171000
75,13/01/2021,12:00:00,34385.48000000,35100.00000000,34017.00000000,34673.90000000,16102.34796600
76,13/01/2021,16:00:00,34673.90000000,36188.00000000,34388.53000000,36002.25000000,17747.20155000
77,13/01/2021,20:00:00,36002.24000000,37850.00000000,35704.21000000,37371.38000000,23245.28041300
78,14/01/2021,00:00:00,37371.38000000,38172.22000000,37000.00000000,37045.13000000,16138.47379100
79,14/01/2021,04:00:00,37045.13000000,38596.92000000,36701.23000000,38198.34000000,15764.35508000
80,14/01/2021,08:00:00,38199.52000000,38786.10000000,37862.04000000,38365.86000000,13654.69752900
81,14/01/2021,12:00:00,38365.86000000,40100.00000000,37707.00000000,39546.01000000,25980.30892200
82,14/01/2021,16:00:00,39546.01000000,40000.00000000,39212.15000000,39876.98000000,14738.64382600
83,14/01/2021,20:00:00,39876.97000000,39935.10000000,38259.25000000,39144.50000000,16673.91027300
84,15/01/2021,00:00:00,39145.21000000,39747.76000000,38450.00000000,38700.00000000,12973.73704200
85,15/01/2021,04:00:00,38700.00000000,38853.09000000,37554.94000000,38473.08000000,14317.81067800
86,15/01/2021,08:00:00,38473.07000000,38780.00000000,37923.00000000,38108.88000000,11723.41464400
87,15/01/2021,12:00:00,38108.87000000,38194.04000000,35258.00000000,35610.72000000,28829.42490300
88,15/01/2021,16:00:00,35610.79000000,36433.51000000,34408.00000000,35217.26000000,35005.43935100
89,15/01/2021,20:00:00,35218.94000000,36888.00000000,34801.15000000,36742.22000000,15451.09429800
90,16/01/2021,00:00:00,36737.43000000,37669.00000000,35852.93000000,36532.92000000,15996.27291900
91,16/01/2021,04:00:00,36532.92000000,36959.61000000,35520.00000000,36574.86000000,12788.97734700
92,16/01/2021,08:00:00,36565.74000000,37950.00000000,36375.88000000,37680.00000000,14546.13650000
93,16/01/2021,12:00:00,37680.00000000,37886.00000000,36671.20000000,37461.99000000,14905.09897900
94,16/01/2021,16:00:00,37463.46000000,37713.94000000,36200.00000000,36376.39000000,12777.18605000
95,16/01/2021,20:00:00,36376.39000000,36800.00000000,35357.80000000,35994.98000000,15334.75971300
