,date,time,open,high,low,close,volume
20,01/10/2021,01:40:00,43664.03000000,43776.25000000,43651.36000000,43773.92000000,87.91332000
21,01/10/2021,01:45:00,43773.92000000,43803.94000000,43683.67000000,43686.14000000,68.21238000
22,01/10/2021,01:50:00,43686.13000000,43732.35000000,43650.97000000,43680.52000000,59.42206000
23,01/10/2021,01:55:00,43680.51000000,43784.17000000,43680.51000000,43742.74000000,73.49358000
24,01/10/2021,02:00:00,43742.74000000,43792.87000000,43742.74000000,43747.74000000,84.45288000
25,01/10/2021,02:05:00,43747.75000000,43794.89000000,43718.01000000,43749.68000000,90.66120000
26,01/10/2021,02:10:00,43749.68000000,43764.58000000,43643.52000000,43648.00000000,83.61193000
27,01/10/2021,02:15:00,43648.01000000,43648.01000000,43525.24000000,43546.17000000,120.22182000
28,01/10/2021,02:20:00,43546.17000000,43595.18000000,43529.08000000,43543.61000000,132.57805000
29,01/10/2021,02:25:00,43543.62000000,43604.34000000,43543.61000000,43579.82000000,68.30756000
30,01/10/2021,02:30:00,43579.81000000,43628.69000000,43538.62000000,43615.21000000,69.99447000
31,01/10/2021,02:35:00,43615.21000000,43615.22000000,43382.78000000,43400.00000000,192.24145000
32,01/10/2021,02:40:00,43400.01000000,43433.20000000,43284.41000000,43412.13000000,230.62482000
33,01/10/2021,02:45:00,43412.12000000,43415.20000000,43324.66000000,43361.31000000,107.65798000
34,01/10/2021,02:50:00,43361.30000000,43370.33000000,43283.03000000,43369.99000000,111.19242000
35,01/10/2021,02:55:00,43369.99000000,43431.97000000,43365.16000000,43379.01000000,57.16277000
36,01/10/2021,03:00:00,43379.00000000,43470.00000000,43352.28000000,43415.12000000,96.70432000
37,01/10/2021,03:05:00,43415.12000000,43494.94000000,43401.05000000,43467.45000000,80.42126000
38,01/10/2021,03:10:00,43467.46000000,43497.99000000,43446.09000000,43450.72000000,60.43387000
39,01/10/2021,03:15:00,43450.73000000,43577.00000000,43446.90000000,43535.28000000,93.45807000
40,01/10/2021,03:20:00,43535.28000000,43535.29000000,43472.95000000,43521.95000000,88.60131000
41,01/10/2021,03:25:00,43521.95000000,43521.96000000,43434.01000000,43484.72000000,44.01771000
42,01/10/2021,03:30:00,43484.71000000,43574.13000000,43484.71000000,43514.82000000,55.03465000
43,01/10/2021,03:35:00,43514.81000000,43608.91000000,43505.15000000,43600.48000000,46.97502000
44,01/10/2021,03:40:00,43600.48000000,43680.00000000,43599.99000000,43610.01000000,93.24037000
45,01/10/2021,03:45:00,43610.00000000,43670.23000000,43417.75000000,43530.17000000,160.56571000
46,01/10/2021,03:50:00,43532.42000000,43663.49000000,43532.42000000,43627.42000000,128.79162000
47,01/10/2021,03:55:00,43627.42000000,43648.00000000,43600.70000000,43635.79000000,44.87589000
48,01/10/2021,04:00:00,43635.79000000,43715.71000000,43555.00000000,43621.00000000,92.63698000
49,01/10/2021,04:05:00,43621.00000000,43664.25000000,43613.88000000,43652.74000000,40.28292000
50,01/10/2021,04:10:00,43652.73000000,43660.00000000,43630.91000000,43660.00000000,105.32089000
51,01/10/2021,04:15:00,43659.99000000,43692.34000000,43585.06000000,43622.88000000,149.86360000
52,01/10/2021,04:20:00,43622.87000000,43635.21000000,43579.19000000,43601.85000000,55.22723000
53,01/10/2021,04:25:00,43601.84000000,43618.90000000,43551.27000000,43556.06000000,42.64600000
54,01/10/2021,04:30:00,43560.42000000,43586.28000000,43476.55000000,43516.28000000,85.45338000
55,01/10/2021,04:35:00,43516.30000000,43562.38000000,43485.48000000,43501.60000000,118.94023000
56,01/10/2021,04:40:00,43501.59000000,43558.09000000,43456.46000000,43509.99000000,100.52158000
57,01/10/2021,04:45:00,43509.99000000,43510.00000000,43463.79000000,43478.55000000,44.29681000
58,01/10/2021,04:50:00,43478.56000000,43550.00000000,43473.13000000,43543.22000000,57.26950000
59,01/10/2021,04:55:00,43543.21000000,43648.73000000,43541.69000000,43625.02000000,89.86643000
60,01/10/2021,05:00:00,43625.02000000,43659.01000000,43558.51000000,43564.81000000,57.97328000
61,01/10/2021,05:05:00,43564.81000000,43622.49000000,43528.90000000,43537.95000000,149.32569000
62,01/10/2021,05:10:00,43537.95000000,43659.16000000,43515.61000000,43654.32000000,76.88981000
63,01/10/2021,05:15:00,43654.33000000,43800.00000000,43644.26000000,43790.92000000,149.19970000
64,01/10/2021,05:20:00,43790.91000000,43840.00000000,43678.50000000,43696.92000000,136.31307000
65,01/10/2021,05:25:00,43696.92000000,43754.54000000,43685.04000000,43709.39000000,63.21994000
66,01/10/2021,05:30:00,43709.38000000,43781.57000000,43709.38000000,43781.57000000,39.80029000
67,01/10/2021,05:35:00,43781.57000000,43819.23000000,43776.31000000,43813.16000000,84.88085000
68,01/10/2021,05:40:00,43813.17000000,43923.21000000,43805.95000000,43867.08000000,189.92941000
69,01/10/2021,05:45:00,43867.09000000,43868.11000000,43798.40000000,43800.34000000,84.15939000
70,01/10/2021,05:50:00,43800.33000000,43877.27000000,43800.01000000,43817.66000000,98.31699000
71,01/10/2021,05:55:00,43817.65000000,43860.57000000,43802.96000000,43850.33000000,60.56549000
72,01/10/2021,06:00:00,43850.32000000,43983.00000000,43850.32000000,43981.77000000,164.95715000
73,01/10/2021,06:05:00,43981.77000000,43996.50000000,43942.39000000,43948.63000000,128.31922000
74,01/10/2021,06:10:00,43948.63000000,43967.11000000,43884.66000000,43887.26000000,146.11463000
75,01/10/2021,06:15:00,43887.26000000,43947.23000000,43887.25000000,43890.11000000,76.29878000
76,01/10/2021,06:20:00,43890.11000000,43929.12000000,43781.91000000,43795.13000000,134.88204000
77,01/10/2021,06:25:00,43795.13000000,43842.66000000,43777.06000000,43822.48000000,106.60534000
78,01/10/2021,06:30:00,43822.48000000,43839.48000000,43729.00000000,43780.73000000,88.03960000
79,01/10/2021,06:35:00,43780.73000000,43913.64000000,43773.00000000,43913.63000000,75.43268000
80,01/10/2021,06:40:00,43913.63000000,43972.33000000,43882.97000000,43895.77000000,128.26733000
81,01/10/2021,06:45:00,43895.77000000,44000.00000000,43880.19000000,43998.19000000,115.65980000
82,01/10/2021,06:50:00,43998.18000000,44048.56000000,43941.02000000,43941.50000000,214.26396000
83,01/10/2021,06:55:00,43941.50000000,44004.10000000,43896.55000000,43995.09000000,158.53354000
84,01/10/2021,07:00:00,43995.10000000,44090.10000000,43950.88000000,43982.79000000,197.34439000
85,01/10/2021,07:05:00,43982.79000000,43991.52000000,43919.84000000,43950.01000000,135.79241000
86,01/10/2021,07:10:00,43950.00000000,44038.99000000,43916.26000000,44007.53000000,136.83607000
87,01/10/2021,07:15:00,44007.53000000,44347.00000000,43985.81000000,44321.22000000,702.00968000
88,01/10/2021,07:20:00,44321.23000000,44641.61000000,44239.18000000,44478.73000000,969.65700000
89,01/10/2021,07:25:00,44478.73000000,44703.53000000,44476.38000000,44623.46000000,531.87112000
90,01/10/2021,07:30:00,44623.46000000,44705.73000000,44596.66000000,44687.32000000,396.50630000
91,01/10/2021,07:35:00,44687.31000000,44774.19000000,44669.98000000,44697.00000000,350.47826000
92,01/10/2021,07:40:00,44697.01000000,44790.00000000,44688.75000000,44783.18000000,292.20292000
93,01/10/2021,07:45:00,44783.18000000,44808.68000000,44695.10000000,44700.01000000,310.66361000
94,01/10/2021,07:50:00,44700.01000000,44800.00000000,44694.24000000,44771.71000000,423.09808000
95,01/10/2021,07:55:00,44771.71000000,44836.00000000,44764.51000000,44788.42000000,343.33583000
96,01/10/2021,08:00:00,44788.42000000,44869.92000000,44762.90000000,44800.89000000,345.12710000
97,01/10/2021,08:05:00,44800.89000000,44950.00000000,44800.89000000,44912.62000000,510.88219000
98,01/10/2021,08:10:00,44912.62000000,44999.00000000,44801.50000000,44826.59000000,436.49654000
99,01/10/2021,08:15:00,44826.58000000,44868.60000000,44733.83000000,44762.90000000,365.33274000
100,01/10/2021,08:20:00,44762.90000000,44827.99000000,44725.00000000,44805.83000000,164.79492000
101,01/10/2021,08:25:00,44805.82000000,44805.82000000,44700.00000000,44793.90000000,200.52729000
102,01/10/2021,08:30:00,44793.91000000,44879.37000000,44793.90000000,44852.06000000,189.51190000
103,01/10/2021,08:35:00,44852.06000000,44882.32000000,44759.91000000,44795.35000000,155.67040000
104,01/10/2021,08:40:00,44795.34000000,44876.22000000,44787.02000000,44861.87000000,142.31043000
105,01/10/2021,08:45:00,44853.63000000,44873.19000000,44800.00000000,44869.35000000,133.85390000
106,01/10/2021,08:50:00,44869.34000000,44920.00000000,44864.68000000,44904.54000000,143.57785000
107,01/10/2021,08:55:00,44904.54000000,44955.00000000,44887.00000000,44945.80000000,165.75188000
108,01/10/2021,09:00:00,44945.81000000,44990.00000000,44895.01000000,44922.99000000,230.61197000
109,01/10/2021,09:05:00,44923.00000000,44939.73000000,44823.57000000,44831.99000000,127.42181000
110,01/10/2021,09:10:00,44831.99000000,44864.13000000,44767.29000000,44791.03000000,148.84439000
111,01/10/2021,09:15:00,44790.78000000,44845.41000000,44778.56000000,44826.07000000,121.72484000
112,01/10/2021,09:20:00,44826.07000000,44920.00000000,44826.07000000,44892.18000000,129.11069000
113,01/10/2021,09:25:00,44892.19000000,44928.99000000,44879.56000000,44912.33000000,123.46725000
114,01/10/2021,09:30:00,44912.33000000,44978.54000000,44891.47000000,44950.04000000,219.13161000
115,01/10/2021,09:35:00,44950.03000000,45000.00000000,44917.97000000,44989.57000000,206.51223000
116,01/10/2021,09:40:00,44989.58000000,44993.97000000,44922.15000000,44944.00000000,172.13552000
117,01/10/2021,09:45:00,44943.99000000,44975.00000000,44865.84000000,44895.96000000,127.58130000
118,01/10/2021,09:50:00,44895.96000000,44905.64000000,44838.39000000,44847.70000000,113.96252000
119,01/10/2021,09:55:00,44847.70000000,44928.29000000,44847.70000000,44906.00000000,89.22638000
120,01/10/2021,10:00:00,44905.99000000,44959.01000000,44857.40000000,44865.90000000,146.66890000
121,01/10/2021,10:05:00,44865.91000000,44895.48000000,44829.40000000,44866.32000000,71.43163000
122,01/10/2021,10:10:00,44866.32000000,44908.26000000,44852.02000000,44855.63000000,134.58387000
123,01/10/2021,10:15:00,44855.63000000,44909.99000000,44850.00000000,44865.23000000,89.34297000
124,01/10/2021,10:20:00,44865.23000000,44920.00000000,44860.01000000,44894.00000000,76.50514000
125,01/10/2021,10:25:00,44894.00000000,46950.00000000,44894.00000000,46497.67000000,2847.38802000
126,01/10/2021,10:30:00,46449.22000000,47086.16000000,46223.52000000,46817.13000000,2291.44203000
127,01/10/2021,10:35:00,46819.88000000,46973.88000000,46728.12000000,46907.87000000,1399.08168000
128,01/10/2021,10:40:00,46907.87000000,47786.70000000,46826.19000000,47330.90000000,2480.93784000
129,01/10/2021,10:45:00,47332.14000000,47449.99000000,47073.35000000,47166.06000000,1227.20154000
130,01/10/2021,10:50:00,47166.07000000,47400.00000000,47028.99000000,47311.83000000,820.95300000
131,01/10/2021,10:55:00,47311.83000000,47422.00000000,47050.01000000,47081.46000000,667.34552000
132,01/10/2021,11:00:00,47081.47000000,47222.00000000,46957.48000000,47203.53000000,651.43609000
133,01/10/2021,11:05:00,47203.53000000,47345.76000000,47073.55000000,47345.75000000,587.19215000
134,01/10/2021,11:10:00,47345.75000000,47345.76000000,47185.36000000,47292.96000000,270.99645000
135,01/10/2021,11:15:00,47292.96000000,47448.75000000,47258.61000000,47333.73000000,405.60413000
